Dates Category DayOfWeek
5-13-15 23:53 WARRANTS-WARRANTS Wednesday
5-13-15 23:53 OTHER-OFFENSES Wednesday
5-13-15 23:33 OTHER-OFFENSES Wednesday
5-13-15 23:30 LARCENY-THEFT Wednesday
5-13-15 23:30 LARCENY-THEFT Wednesday
5-13-15 23:30 LARCENY-THEFT	Wednesday
5-13-15 23:30 VEHICLE-THEFT	Wednesday
5-13-15 23:30 VEHICLE-THEFT	Wednesday
5-13-15 23:00 LARCENY-THEFT	Wednesday
5-13-15 23:00 LARCENY-THEFT	Wednesday
5-13-15 22:58 LARCENY-THEFT	Wednesday
5-13-15 22:30 OTHER-OFFENSES Wednesday
5-13-15 22:30 VANDALISM-VANDALISM Wednesday
5-13-15 22:06 LARCENY-THEFT	Wednesday
5-13-15 22:00 NON-CRIMINAL Wednesday
5-13-15 22:00 NON-CRIMINAL Wednesday
5-13-15 22:00 ROBBERY-ROBBERY Wednesday
5-13-15 21:55 ASSAULT-AGGRAVATED Wednesday
5-13-15 21:40 OTHER-OFFENSES Wednesday
5-13-15 21:30 NON-CRIMINAL Wednesday
5-13-15 21:30 LARCENY-THEFT	Wednesday
5-13-15 21:17 ROBBERY-ROBBERY Wednesday
5-13-15 21:11 WARRANTS-WARRANTS Wednesday
5-13-15 21:11 NON-CRIMINAL Wednesday
5-13-15 21:10 LARCENY-THEFT Wednesday
5-13-15 21:00 NON-CRIMINAL Wednesday
5-13-15 21:00 LARCENY-THEFT	Wednesday
5-13-15 21:00 LARCENY-THEFT	Wednesday
5-13-15 21:00 LARCENY-THEFT	Wednesday
5-13-15 20:56 OTHER-OFFENSES Wednesday
5-13-15 20:54 LARCENY-THEFT Wednesday
5-13-15 20:50 NON-CRIMINAL Wednesday
5-13-15 20:45 VANDALISM-VANDALISM Wednesday
5-13-15 20:30 LARCENY-THEFT Wednesday
5-13-15 20:30 VANDALISM-VANDALISM Wednesday
5-13-15 20:30 LARCENY-THEFT	Wednesday
5-13-15 20:30 LARCENY-THEFT	Wednesday
