Dates	Category	Descript	DayOfWeek	PdDistrict	Resolution	Address	X	Y
5-13-15 23:53	WARRANTS	WARRANT ARREST	Wednesday	NORTHERN	ARREST, BOOKED	OAK ST - LAGUNA ST	-122.4258917	37.7745986
5-13-15 23:53	OTHER OFFENSES	TRAFFIC VIOLATION ARREST	Wednesday	NORTHERN	ARREST, BOOKED	OAK ST - LAGUNA ST	-122.4258917	37.7745986
5-13-15 23:33	OTHER OFFENSES	TRAFFIC VIOLATION ARREST	Wednesday	NORTHERN	ARREST, BOOKED	VANNESS AV - GREENWICH ST	-122.424363	37.80041432
5-13-15 23:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	1500 Block of LOMBARD ST	-122.4269953	37.80087263
5-13-15 23:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	PARK	NONE	100 Block of BRODERICK ST	-122.4387376	37.77154117
5-13-15 23:30	LARCENY-THEFT	GRAND THEFT FROM UNLOCKED AUTO	Wednesday	INGLESIDE	NONE	0 Block of TEDDY AV	-122.4032524	37.7134307
5-13-15 23:30	VEHICLE THEFT	STOLEN AUTOMOBILE	Wednesday	INGLESIDE	NONE	AVALON AV - PERU AV	-122.423327	37.72513804
5-13-15 23:30	VEHICLE THEFT	STOLEN AUTOMOBILE	Wednesday	BAYVIEW	NONE	KIRKWOOD AV - DONAHUE ST	-122.3712743	37.72756407
5-13-15 23:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	RICHMOND	NONE	600 Block of 47TH AV	-122.508194	37.77660126
5-13-15 23:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	CENTRAL	NONE	JEFFERSON ST - LEAVENWORTH ST	-122.4190877	37.80780155
5-13-15 22:58	LARCENY-THEFT	PETTY THEFT FROM LOCKED AUTO	Wednesday	CENTRAL	NONE	JEFFERSON ST - LEAVENWORTH ST	-122.4190877	37.80780155
5-13-15 22:30	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION	Wednesday	TARAVAL	NONE	0 Block of ESCOLTA WY	-122.4879831	37.73766665
5-13-15 22:30	VANDALISM	MALICIOUS MISCHIEF, VANDALISM OF VEHICLES	Wednesday	TENDERLOIN	NONE	TURK ST - JONES ST	-122.4124143	37.7830038
5-13-15 22:06	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	FILLMORE ST - GEARY BL	-122.4329146	37.78435334
5-13-15 22:00	NON-CRIMINAL	FOUND PROPERTY	Wednesday	BAYVIEW	NONE	200 Block of WILLIAMS AV	-122.3977444	37.72993469
5-13-15 22:00	NON-CRIMINAL	FOUND PROPERTY	Wednesday	BAYVIEW	NONE	0 Block of MENDELL ST	-122.3836915	37.74318904
5-13-15 22:00	ROBBERY	ROBBERY, ARMED WITH A KNIFE	Wednesday	TENDERLOIN	NONE	EDDY ST - JONES ST	-122.4125974	37.78393203
5-13-15 21:55	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE	Wednesday	INGLESIDE	NONE	GODEUS ST - MISSION ST	-122.4216815	37.7428222
5-13-15 21:40	OTHER OFFENSES	TRAFFIC VIOLATION	Wednesday	BAYVIEW	ARREST, BOOKED	MENDELL ST - HUDSON AV	-122.3864009	37.73898349
5-13-15 21:30	NON-CRIMINAL	FOUND PROPERTY	Wednesday	TENDERLOIN	NONE	100 Block of JONES ST	-122.4122498	37.78255633
5-13-15 21:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	INGLESIDE	NONE	200 Block of EVELYN WY	-122.4493891	37.7426688
5-13-15 21:17	ROBBERY	ROBBERY, BODILY FORCE	Wednesday	INGLESIDE	NONE	1600 Block of VALENCIA ST	-122.4202721	37.74733163
5-13-15 21:11	WARRANTS	WARRANT ARREST	Wednesday	TENDERLOIN	NONE	100 Block of JONES ST	-122.4122498	37.78255633
5-13-15 21:11	NON-CRIMINAL	STAY AWAY OR COURT ORDER, NON-DV RELATED	Wednesday	TENDERLOIN	NONE	100 Block of JONES ST	-122.4122498	37.78255633
5-13-15 21:10	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	FILLMORE ST - LOMBARD ST	-122.4360492	37.79984122
5-13-15 21:00	NON-CRIMINAL	LOST PROPERTY	Wednesday	TENDERLOIN	NONE	300 Block of OFARRELL ST	-122.4105093	37.78604322
5-13-15 21:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	2000 Block of BUSH ST	-122.4310176	37.78738807
5-13-15 21:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	INGLESIDE	NONE	500 Block of COLLEGE AV	-122.4236563	37.73255649
5-13-15 21:00	LARCENY-THEFT	ATTEMPTED THEFT FROM LOCKED VEHICLE	Wednesday	TARAVAL	NONE	19TH AV - SANTIAGO ST	-122.4757735	37.74491907
5-13-15 20:56	OTHER OFFENSES	MISCELLANEOUS INVESTIGATION	Wednesday	TARAVAL	NONE	2000 Block of 41ST AV	-122.4997871	37.7485176
5-13-15 20:54	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	1300 Block of WEBSTER ST	-122.4310464	37.78302957
5-13-15 20:50	NON-CRIMINAL	CIVIL SIDEWALKS, CITATION	Wednesday	MISSION	ARREST, BOOKED	400 Block of CASTRO ST	-122.4351501	37.76175972
5-13-15 20:45	VANDALISM	MALICIOUS MISCHIEF, VANDALISM	Wednesday	NORTHERN	NONE	1500 Block of FILLMORE ST	-122.4327438	37.78384245
5-13-15 20:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	1600 Block of WEBSTER ST	-122.4313095	37.78587063
5-13-15 20:30	VANDALISM	MALICIOUS MISCHIEF, VANDALISM	Wednesday	NORTHERN	NONE	1600 Block of WEBSTER ST	-122.4313095	37.78587063
5-13-15 20:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	KING ST - 3RD ST	-122.3918456	37.77812478
5-13-15 20:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	VALLEJO ST - BUCHANAN ST	-122.4318307	37.7956417
5-13-15 20:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	CALIFORNIA ST - BUCHANAN ST	-122.4305518	37.78932277
5-13-15 20:29	WEAPON LAWS	SUSPICIOUS PACKAGE	Wednesday	TARAVAL	NONE	1400 Block of HOLLOWAY AV	-122.473182	37.72156474
5-13-15 20:25	VANDALISM	MALICIOUS MISCHIEF, VANDALISM	Wednesday	INGLESIDE	NONE	0 Block of WINDING WY	-122.4324465	37.71083265
5-13-15 20:23	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED	Wednesday	SOUTHERN	NONE	700 Block of MARKET ST	-122.4052948	37.78630722
5-13-15 20:15	LARCENY-THEFT	PETTY THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	1600 Block of MARKET ST	-122.4221276	37.77303302
5-13-15 20:15	LARCENY-THEFT	PETTY THEFT SHOPLIFTING	Wednesday	TENDERLOIN	NONE	0 Block of STOCKTON ST	-122.4063518	37.78603116
5-13-15 20:06	OTHER OFFENSES	PROBATION VIOLATION	Wednesday	BAYVIEW	ARREST, BOOKED	300 Block of WILLIAMS AV	-122.3994437	37.73017602
5-13-15 20:06	OTHER OFFENSES	STAY AWAY ORDER VIOLATION, DV RELATED	Wednesday	BAYVIEW	ARREST, BOOKED	300 Block of WILLIAMS AV	-122.3994437	37.73017602
5-13-15 20:00	OTHER OFFENSES	DRIVERS LICENSE, SUSPENDED OR REVOKED	Wednesday	CENTRAL	ARREST, CITED	800 Block of LEAVENWORTH ST	-122.415212	37.78887145
5-13-15 20:00	VEHICLE THEFT	STOLEN MOTORCYCLE	Wednesday	INGLESIDE	NONE	0 Block of CRESCENT AV	-122.4237023	37.73523279
5-13-15 20:00	LARCENY-THEFT	GRAND THEFT FROM PERSON	Wednesday	TARAVAL	NONE	LINCOLN WY - 14TH AV	-122.4717998	37.7656867
5-13-15 19:55	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED	Wednesday	CENTRAL	NONE	SUTTER ST - POWELL ST	-122.4085974	37.78922421
5-13-15 19:52	BURGLARY	BURGLARY, VEHICLE (ARREST MADE)	Wednesday	PARK	ARREST, BOOKED	1500 Block of HAIGHT ST	-122.4477611	37.76984649
5-13-15 19:33	ROBBERY	ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE	Wednesday	BAYVIEW	NONE	23RD ST - WISCONSIN ST	-122.3986956	37.7547456
5-13-15 19:33	ASSAULT	AGGRAVATED ASSAULT WITH BODILY FORCE	Wednesday	BAYVIEW	NONE	23RD ST - WISCONSIN ST	-122.3986956	37.7547456
5-13-15 19:30	LARCENY-THEFT	PETTY THEFT FROM A BUILDING	Wednesday	SOUTHERN	NONE	0 Block of 3RD ST	-122.4032848	37.78730642
5-13-15 19:30	LARCENY-THEFT	GRAND THEFT FROM UNLOCKED AUTO	Wednesday	SOUTHERN	NONE	500 Block of BRANNAN ST	-122.3976156	37.77739182
5-13-15 19:30	SUSPICIOUS OCC	INVESTIGATIVE DETENTION	Wednesday	SOUTHERN	NONE	OTIS ST - GOUGH ST	-122.4203472	37.77176907
5-13-15 19:30	LARCENY-THEFT	GRAND THEFT FROM PERSON	Wednesday	SOUTHERN	NONE	MISSION ST - 2ND ST	-122.3998021	37.78800653
5-13-15 19:30	LARCENY-THEFT	GRAND THEFT OF PROPERTY	Wednesday	NORTHERN	NONE	GEARY ST - VANNESS AV	-122.4213958	37.78568434
5-13-15 19:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	HARRISON ST - 10TH ST	-122.4112792	37.77157858
5-13-15 19:30	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	GEARY BL - LAGUNA ST	-122.4279912	37.78495312
5-13-15 19:28	VEHICLE THEFT	STOLEN AND RECOVERED VEHICLE	Wednesday	CENTRAL	NONE	0 Block of SANSOME ST	-122.4007198	37.79071247
5-13-15 19:28	VEHICLE THEFT	STOLEN AUTOMOBILE	Wednesday	CENTRAL	NONE	0 Block of SANSOME ST	-122.4007198	37.79071247
5-13-15 19:26	DRUNKENNESS	UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE	Wednesday	CENTRAL	NONE	900 Block of BUSH ST	-122.412929	37.78968683
5-13-15 19:26	SUSPICIOUS OCC	INVESTIGATIVE DETENTION	Wednesday	CENTRAL	NONE	900 Block of BUSH ST	-122.412929	37.78968683
5-13-15 19:19	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED	Wednesday	SOUTHERN	NONE	0 Block of MARKET ST	-122.3950978	37.79405905
5-13-15 19:15	LARCENY-THEFT	PETTY THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	300 Block of 10TH ST	-122.4116366	37.77178694
5-13-15 19:15	LARCENY-THEFT	GRAND THEFT FROM UNLOCKED AUTO	Wednesday	TARAVAL	NONE	19TH AV - WINSTON DR	-122.4748992	37.72699053
5-13-15 19:11	WARRANTS	ENROUTE TO PAROLE OFFICER	Wednesday	TENDERLOIN	NONE	400 Block of HYDE ST	-122.4162359	37.78491257
5-13-15 19:11	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION	Wednesday	TENDERLOIN	NONE	400 Block of HYDE ST	-122.4162359	37.78491257
5-13-15 19:11	OTHER OFFENSES	TRAFFIC VIOLATION ARREST	Wednesday	TENDERLOIN	NONE	400 Block of HYDE ST	-122.4162359	37.78491257
5-13-15 19:11	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	400 Block of BRANNAN ST	-122.395986	37.77883482
5-13-15 19:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	SOUTHERN	NONE	400 Block of BRANNAN ST	-122.395986	37.77883482
5-13-15 19:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	NORTHERN	NONE	2000 Block of SUTTER ST	-122.4341214	37.78603305
5-13-15 19:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	BAYVIEW	NONE	100 Block of PAUL AV	-122.3971362	37.72280498
5-13-15 19:00	VEHICLE THEFT	STOLEN AUTOMOBILE	Wednesday	MISSION	NONE	26TH ST - GUERRERO ST	-122.4225723	37.74877401
5-13-15 19:00	LARCENY-THEFT	GRAND THEFT FROM LOCKED AUTO	Wednesday	CENTRAL	NONE	STOCKTON ST - SUTTER ST	-122.4069587	37.78943476
5-13-15 18:58	WARRANTS	ENROUTE TO OUTSIDE JURISDICTION	Wednesday	MISSION	NONE	1900 Block of MISSION ST	-122.4196766	37.7658511
5-13-15 18:58	WARRANTS	WARRANT ARREST	Wednesday	MISSION	NONE	1900 Block of MISSION ST	-122.4196766	37.7658511
5-13-15 18:55	NON-CRIMINAL	AIDED CASE, MENTAL DISTURBED	Wednesday	PARK	PSYCHOPATHIC CASE	4600 Block of 18TH ST	-122.4424965	37.76048588
